search query,urls,channel name,channel id,subscribers,response,email,status
productivity tips,https://www.youtube.com/@Katimorton,Kati Morton,/@Katimorton,1270000.0,200.0,no,fail
productivity tips,https://www.youtube.com/@SadieAldis,Sadie Aldis,/@SadieAldis,1040000.0,200.0,no,fail
productivity tips,https://www.youtube.com/@bykchoi,kchoi,/@bykchoi,155000.0,200.0,no,fail
productivity tips,https://www.youtube.com/@warikoo,warikoo,/@warikoo,3010000.0,200.0,no,fail
productivity tips,https://www.youtube.com/@BiologyNEET,Vedantu Biotonic for NEET,/@BiologyNEET,864000.0,200.0,no,fail
productivity tips,https://www.youtube.com/@Carl_Pullein,Carl Pullein,/@Carl_Pullein,104000.0,200.0,no,fail
productivity tips,https://www.youtube.com/@ModernHealthMonk,ModernHealthMonk,/@ModernHealthMonk,423000.0,200.0,no,fail
productivity tips,https://www.youtube.com/@KeltieOConnor,Keltie O'Connor,/@KeltieOConnor,509000.0,200.0,no,fail
productivity tips,https://www.youtube.com/@httechvideos,HT Tech,/@httechvideos,16300.0,200.0,no,fail
productivity tips,https://www.youtube.com/@successnb,Success & Beyond,/@successnb,558.0,200.0,no,fail
productivity tips,https://www.youtube.com/@juliethefilmmaker,juliethefilmmaker,/@juliethefilmmaker,84.0,200.0,no,fail
productivity tips,https://www.youtube.com/@dailymotivationaffirmations,Daily Motivation & Affirmations,/@dailymotivationaffirmations,4800.0,200.0,no,fail
productivity tips,https://www.youtube.com/@nailynev,Naily Nevarez,/@nailynev,112.0,200.0,no,fail
productivity tips,https://www.youtube.com/@ziasserenelife,Zia's serene life,/@ziasserenelife,1570.0,200.0,no,fail
productivity tips,https://www.youtube.com/@growwithkhushboo7141,Growwithkhushboo,/@growwithkhushboo7141,15600.0,200.0,no,fail
productivity tips,https://www.youtube.com/@CerebralHappy1,Cerebral Happy,/@CerebralHappy1,8.0,200.0,no,fail
productivity tips,https://www.youtube.com/@HarryBlomleyCreative,HarryBlomleyCreative,/@HarryBlomleyCreative,8.0,200.0,no,fail
productivity tips,https://www.youtube.com/@DanielMutuku,Daniel Mutuku - Career Coach,/@DanielMutuku,135000.0,200.0,no,fail
productivity tips,https://www.youtube.com/@JasonWilliams00,JJ Who,/@JasonWilliams00,742.0,200.0,no,fail
productivity tips,https://www.youtube.com/@Simpletivity,Simpletivity,/@Simpletivity,329000.0,200.0,no,fail
